poe,StartHour,EndHour,StartPeriod,EndPeriod,StandardWait,SENTRIWait,PedestrianWait
0,3,5,1,1,41.8,3.4,6.5
0,5,6,2,3,52.6,12.5,16.8
0,6,7,4,5,59.1,13.2,24.1
0,7,8,6,7,58.9,13.8,39.2
0,8,9,8,9,56.7,12.9,38.8
0,9,10,10,11,54.4,9.3,35.7
0,10,11,12,13,54.1,9.7,36.3
0,11,12,14,15,55.0,10.5,39.5
0,12,1,16,17,56.6,10.7,41.3
0,1,2,18,19,55.9,10.7,37.2
0,2,3,20,21,56.2,10.3,36.6
0,3,4,22,23,53.7,9.8,37.7
0,4,5,24,25,46.9,8.2,30.7
0,5,6,26,27,40.0,8.5,28.6
0,6,7,28,29,32.2,9.1,24.5
0,7,8,30,31,32.6,8.5,23.3
0,8,9,32,33,33.2,8.5,16.4
0,9,10,34,35,31.9,7.1,10.0
0,10,11,36,37,30.8,7.4,7.0
0,11,12,38,39,26.0,7.8,2.3
0,12,3,40,40,24.7,0.8,1.7
1,3,5,1,1,42.2,2.4,2.4
1,5,6,2,3,52.8,7.0,17.1
1,6,7,4,5,52.7,10.1,28.3
1,7,8,6,7,48.1,9.9,22.9
1,8,9,8,9,46.6,10.3,20.7
1,9,10,10,11,46.2,7.6,18.4
1,10,11,12,13,43.8,6.3,12.8
1,11,12,14,15,47.9,5.7,12.9
1,12,1,16,17,45.3,6.7,10.1
1,1,2,18,19,45.4,6.3,8.8
1,2,3,20,21,45.3,7.3,10.8
1,3,4,22,23,42.7,7.0,7.7
1,4,5,24,25,38.3,6.1,7.3
1,5,6,26,27,31.4,5.7,7.0
1,6,7,28,29,24.8,6.2,7.1
1,7,8,30,31,23.9,5.5,6.2
1,8,9,32,33,21.2,4.5,3.9
1,9,10,34,35,18.3,4.3,1.6
1,10,11,36,37,18.9,4.1,2.1
1,11,12,38,39,24.1,1.8,3.9
1,12,3,40,40,24.1,0.0,1.7
2,3,5,1,1,999.0,999.0,999.0
2,5,6,2,3,21.6,999.0,10.8
2,6,7,4,5,24.3,999.0,6.9
2,7,8,6,7,29.1,999.0,5.5
2,8,9,8,9,29.8,999.0,4.4
2,9,10,10,11,34.6,999.0,4.3
2,10,11,12,13,32.6,999.0,4.1
2,11,12,14,15,34.4,999.0,4.0
2,12,1,16,17,31.6,999.0,3.8
2,1,2,18,19,33.2,999.0,4.3
2,2,3,20,21,32.0,999.0,3.5
2,3,4,22,23,24.5,999.0,1.8
2,4,5,24,25,18.9,999.0,1.6
2,5,6,26,27,18.2,999.0,1.3
2,6,7,28,29,15.7,999.0,1.1
2,7,8,30,31,13.9,999.0,1.2
2,8,9,32,33,11.4,999.0,0.9
2,9,10,34,35,10.6,999.0,0.9
2,10,11,36,37,7.4,999.0,0.8
2,11,12,38,39,12.5,999.0,3.0
2,12,3,40,40,999.0,999.0,999.0
